Content,Reactions,Comments,Reposts,Poster,Location
IMHO There should be no airfare cost for a government evacuation. The airlines should be reimbursed directly by the government.,4,2 comments,2 comments,Rhonda Young Konicki,
"[♪♪♪] [♪♪♪] >> Andrew: HEY THERE. YOU MAY HAVE HEARD THE REPORTS BREAKING THAT YELLOWKNIFE, THE CAPITAL CITY OF THE NORTHWEST TERRITORIES IS BEING EVACUATED DUE TO THE WILDFIRE. THE ENTIRE CITY, EMPTIED. >> HEEDING THE WARNINGS AND FOR SOME, ORDERS TO LEAVE. TRIPS OUT OF THE FIRE ZONE, HARROWING FOR MANY. VIDEOS LIKE THIS SHOWING THE DIRE SITUATION IN PARTS OF THE NORTHWEST TERRITORIES....",,,,OpenCanuck.com,
Important info if you are trying to connect with family and friends who were flown to Winnipeg.,6,,,"Ben Hendriksen, Yellowknife City Councillor",
The GNWT has posted more information regarding evacuees flown to Winnipeg:Evacuees requiring services were brought to Fairfield Inn and Suites in Winnipeg. If… See more,,,,Rebecca Alty,
The NWT SPCA and Veterinarians without Borders are closely monitoring the situation in Yellowknife and taking steps to address any needs that would come with an… See more,,,,NWTSPCA,
"The Yellowknife evacuation is well on its way with the deadline to leave tomorrow by noon. About 14 of us are staying back to run the helicopter fire fighting effort on the three major fires surrounding the city. We have permission to stay with letters of approval by the ministry. If anyone needs anything urgently done in YK in the coming days let me know, happy to help out.",75,11 comments,11 comments,Dennis Rusch,
"Evacuation alert issued for kam lake industrial, grace lake and Engle business district",1,,,Stacie Arden Smith Yellowknife City Councillor,
FYI from the Mayor;When leaving:1. Please DO NOT leave your sprinklers on. We have a lot of strength and water resources fighting this fire - including water cannons with all of the sprinklers. We want to make sure the water remains for the critical work on the edge of our community. … See more,2,,,"Garett Cochrane, Yellowknife City Councillor",
"Updated evacuation flight info. August 17th, 4 AM.",1,1 comment,1 comment,"Tom McLennan, Yellowknife City Councillor",
"YELLOWKNIFE - Officials in the Northwest Territories are urging thousands of residents remaining in its capital to leave by noon today before a nearby wildfire could cut off access. The evacuation of Yellowknife was ordered late Wednesday and sprinklers, water cannons and fire guards are being set up to protect the city of 20,000 people. Convoys of vehicles have steadily been leaving for hotels and evacuation centres in Alberta....",,,,OpenCanuck.com,
Rice Cooker only used during the Yellowknife Wildfire Evacuation. Very good condition. For pick-up only.,,,,OFFICIAL YELLOWKNIFE CLASSIFIEDS & NETWORK GROUP,
"People are being asked to bring no more than a five days worth of clothing, as well as essential items like medication, chargers, and important documents. (via CBC News )",4,,,Eye on the Arctic / Regard sur l'Arctique,
"#WorldNews | Canadian fire crews on Thursday battled to prevent wildfires from reaching the northern city of Yellowknife, where all 20,000 residents are leaving by car and plane after an evacuation order was declared.",13,,,The Fiji Times,
Yellowknife is under an evacuation order. Please leave the City Friday by noon. Flights will start tomorrow afternoon if you don’t have ground transportation. Move calmly and be kind everyone.,3,2 comments,2 comments,Rylund Johnson,
https://www.theweathernetwork.com/en/news/weather/severe/people-waiting-hours-for-evacuation-flights-out-of-yellowknife-told-to-return-friday?wx_auto_reload=,6,4 comments,4 comments,Barbara Adams,
"Residents of Yellowknife and a nearby First Nation who have been evacuated for weeks due to wildfires are being told to start planning now for their return home, beginning Wednesday.",,,,Global News Radio 880 Edmonton,
"Yellowknife's mayor says that city did not ask territory to trigger evacuation | CBC NewsYellowknife’s mayor said, as far as she knows, concerns about staffing at Yellowknife’s evacuation centre were not related to the territorial dec",,,,Today Virals,
A member of the Northwest Territories legislature is facing a fine and a reprimand for returning to Yellowknife while it was evacuated during recent wildfires.,4,,,CTV Edmonton,
"As flames threatened North Country Stables in Yellowknife, a daring horse rescue was launched by friends in neighbouring Alberta. #wildfires #horses",3,,,Horse Canada,
Yellowknife evacuees have made their way back home after being sent to Winnipeg following the wildfire evacuation order.,60,,,The Weather Network,
"Friends and family. We are currently under threat of extreme wildfires, all throughout the NWT.  Currently in Yellowknife they are surrounding us and getting closer to town. City of Yellowknife has issued State of Emergency to mobilize all equipment and contractors, to help strengthen the fire lines and the Military has just showed up to help as well.  … See more",18.0,4 comments,4 comments,Fish'n The Arctic with Ryan Gregory,"Yellowknife, NT"
"NWT is under fire. Very scary. Surrounded by fires and can’t leave (highway closed), unless fly out or get out on the lake (I don’t have a boat)!  Food, fuel, etc can’t come in (other than by plane). We’ve had 5 communities evacuated. So much devastation. Yellowknife is on an elevated alert (fire around 20km away. .You’ll see in the first photo we are surrounded. Apparently over 1 million hectares has burned. Structures burning and burnt to the ground; pets abandoned,… See more",75.0,18 comments,18 comments,Tawna Brown,"Yellowknife, NT"
"So, this week has been one to remember. It’s going to take a while to unpack everything that’s happened, but there’s some real optimism that Yellowknife is going to pull through this.I’m still up here supporting the ground effort with 440 Sqn. I can not begin to describe how proud I am with how everyone has responded to this chaos. The effort to build a fire brake all they way around our city was truly spectacular. Thank you to everyone that stayed behind to make that happp… See more",100.0,17 comments,17 comments,Brian Peers,"Yellowknife, NT"
"Campfire breakfast, on a perfect day for it.(The city lifted the fire ban this week, and it rained almost every day, until the sun rose this morning in a clear sky)",9.0,,,Sean Fowler,Yellowknife River
What are the type of Borealis we saw on 2nd night at 黄刀镇 yellowknife?The whole week was engulfed by wildfire and unfortunately our flight out is cancelled (air canada seems unreliable). hopefully we can catch 1 more dancing lights with our Guide Bill before flying out tmr morning.,45.0,10 comments,10 comments,Lawrence See,"Aurora Village, Yellowknife, Northwestern Territories"
Sunday night feeding the troops.  Fire towards Yellowknife held at 15 km with successful suppression work and lighter winds than expected.@jeff_oldfield#acastaheliflight #acastaheli #homeofthegneissguys #wildfire #helicopters #nwt#fireseason2023 #nwtfire #stateofemergency  #essentialworkers #familydinner #feedingthetroops,96.0,11 comments,11 comments,Acasta HeliFlight Inc.,Acasta HeliFlight Inc.
